date,inventory_after_demand
2018-01-01,166561.03
2018-01-02,146503.66
2018-01-03,126564.26
2018-01-04,104856.27
2018-01-05,81766.92
2018-01-06,56998.29
2018-01-07,30795.06
2018-01-08,214759.45
2018-01-09,194821.01
2018-01-10,174673.59
2018-01-11,153146.57
2018-01-12,130061.25
2018-01-13,105465.38
2018-01-14,79378.39
2018-01-15,62105.51
2018-01-16,45562.18
2018-01-17,202326.76
2018-01-18,194019.61
2018-01-19,171034.36
2018-01-20,146445.1
2018-01-21,120352.99
2018-01-22,103036.14
2018-01-23,82780.1
2018-01-24,65650.56
2018-01-25,53520.74
2018-01-26,201572.83
2018-01-27,187695.84
2018-01-28,163960.66
2018-01-29,146974.27
2018-01-30,126895.28
2018-01-31,106803.2
2018-02-01,86192.18000000001
2018-02-02,70658.45
2018-02-03,128430.75
2018-02-04,185899.84
2018-02-05,177813.73
2018-02-06,156316.65
2018-02-07,135831.68
2018-02-08,112707.33
2018-02-09,90326.1
2018-02-10,74179.87
2018-02-11,135723.75
2018-02-12,144644.47
2018-02-13,175881.8
2018-02-14,164370.04
2018-02-15,141765.24
2018-02-16,117824.66
2018-02-17,94192.92
2018-02-18,76367.64
2018-02-19,141973.24
2018-02-20,149052.76
2018-02-21,155203.32
2018-02-22,157819.25
2018-02-23,141379.96
2018-02-24,115523.59
2018-02-25,91100.36
2018-02-26,82410.71
2018-02-27,146326.24
2018-02-28,152858.96
2018-03-01,154503.31
2018-03-02,149345.01
2018-03-03,126820.39
2018-03-04,96878.02
2018-03-05,85360.77
2018-03-06,147345.82
2018-03-07,151801.98
2018-03-08,153428.84
2018-03-09,144733.15
2018-03-10,124148.59999999999
2018-03-11,100024.48999999999
2018-03-12,83807.08
2018-03-13,147337.22
2018-03-14,151508.55
2018-03-15,153253.6
2018-03-16,144562.41
2018-03-17,120791.73
2018-03-18,101658.99
2018-03-19,84760.04
2018-03-20,146787.61
2018-03-21,151061.12
2018-03-22,153239.8
2018-03-23,143993.07
2018-03-24,120601.79
2018-03-25,101557.46
2018-03-26,85380.45
2018-03-27,147207.55
2018-03-28,151427.31
2018-03-29,153196.74
2018-03-30,144040.02
2018-03-31,119800.7
