item,total_orders,total_units_ordered
1,120,19897.0
2,120,53415.0
3,120,33518.0
4,118,19792.0
5,118,16546.0
6,119,52529.0
7,120,53317.0
8,120,69488.0
9,120,46927.0
10,120,66023.0
11,120,63529.0
12,120,63244.0
13,119,75311.0
14,120,53331.0
15,118,77887.0
16,118,22807.0
17,119,29852.0
18,119,75625.0
19,118,36224.0
20,121,43514.0
21,119,36387.0
22,120,72431.0
23,118,26374.0
24,119,59673.0
25,120,72911.0
26,120,43472.0
27,118,19914.0
28,116,76310.0
29,120,63250.0
30,118,35894.0
31,119,53151.0
32,120,40126.0
33,119,62652.0
34,117,22992.0
35,120,59804.0
36,120,69744.0
37,118,26271.0
38,120,72638.0
39,119,40038.0
40,119,26462.0
41,117,19570.0
42,117,32546.0
43,120,46809.0
44,119,26498.0
45,120,72826.0
46,120,53702.0
47,118,20009.0
48,120,46873.0
49,117,25898.0
50,119,59285.0
