date,store,item,inventory_position,reorder_point,target_inventory,recommended_order_qty,arrival_date
2018-01-01,1,1,127.0,143.17,283.45,157.0,2018-01-08
2018-01-10,1,1,138.93000000000004,143.51,283.78,145.0,2018-01-17
2018-01-19,1,1,136.07000000000005,145.64,285.91999999999996,150.0,2018-01-26
2018-01-27,1,1,149.29000000000005,149.49,289.76,141.0,2018-02-03
2018-02-04,1,1,147.87000000000006,154.73,295.0,148.0,2018-02-11
2018-02-13,1,1,138.64000000000007,154.19,294.46000000000004,156.0,2018-02-20
2018-02-22,1,1,135.0900000000001,154.84,295.11,161.0,2018-03-01
2018-03-01,1,1,169.8300000000001,177.33,317.61,148.0,2018-03-08
2018-03-08,1,1,169.0800000000001,178.9,319.18,151.0,2018-03-15
2018-03-15,1,1,169.7700000000001,179.14,319.41999999999996,150.0,2018-03-22
2018-03-22,1,1,169.2000000000001,176.32,316.6,148.0,2018-03-29
2018-03-30,1,1,146.98000000000013,168.87,309.15,163.0,2018-04-06
2018-01-01,1,2,338.92,382.91,757.2,419.0,2018-01-08
2018-01-10,1,2,354.46000000000004,384.68,758.97,405.0,2018-01-17
2018-01-19,1,2,341.98,391.64,765.93,424.0,2018-01-26
2018-01-27,1,2,384.51000000000005,401.93,776.21,392.0,2018-02-03
2018-02-04,1,2,379.37,417.45,791.74,413.0,2018-02-11
2018-02-12,1,2,397.83000000000004,423.31,797.5999999999999,400.0,2018-02-19
2018-02-20,1,2,390.32000000000005,422.91,797.2,407.0,2018-02-27
2018-02-27,1,2,437.84000000000003,478.45,852.74,415.0,2018-03-06
2018-03-06,1,2,437.8500000000001,484.17,858.46,421.0,2018-03-13
2018-03-13,1,2,438.13,488.45,862.74,425.0,2018-03-20
2018-03-20,1,2,438.12000000000006,485.56,859.8499999999999,422.0,2018-03-27
2018-03-28,1,2,382.4900000000001,437.76,812.05,430.0,2018-04-04
2018-01-01,1,3,211.63,229.74,462.63,251.0,2018-01-08
2018-01-10,1,3,225.92,226.19,459.08000000000004,234.0,2018-01-17
2018-01-19,1,3,222.19999999999993,227.7,460.59000000000003,239.0,2018-01-26
2018-01-28,1,3,215.63999999999996,238.22,471.11,256.0,2018-02-04
2018-02-06,1,3,226.22999999999996,241.8,474.69,249.0,2018-02-13
2018-02-15,1,3,221.20999999999992,245.28,478.17,257.0,2018-02-22
2018-02-23,1,3,244.81999999999988,254.82,487.71000000000004,243.0,2018-03-02
2018-03-02,1,3,275.6099999999999,277.9,510.7900000000001,236.0,2018-03-09
2018-03-09,1,3,276.33999999999986,278.38,511.27,235.0,2018-03-16
2018-03-16,1,3,275.59999999999985,281.99,514.88,240.0,2018-03-23
2018-03-23,1,3,276.22999999999985,278.29,511.18000000000006,235.0,2018-03-30
2018-03-31,1,3,237.02999999999983,275.52,508.40999999999997,272.0,2018-04-07
2018-01-01,1,4,127.35,141.07,281.21,154.0,2018-01-08
2018-01-10,1,4,137.96,143.44,283.58,146.0,2018-01-17
2018-01-19,1,4,136.07999999999998,142.47,282.62,147.0,2018-01-26
2018-01-28,1,4,130.73,149.1,289.24,159.0,2018-02-04
2018-02-06,1,4,137.94,151.96,292.1,155.0,2018-02-13
2018-02-14,1,4,152.48000000000002,153.1,293.25,141.0,2018-02-21
2018-02-22,1,4,151.08000000000004,153.97,294.12,144.0,2018-03-01
2018-03-01,1,4,169.24000000000004,175.78,315.91999999999996,147.0,2018-03-08
2018-03-08,1,4,168.59000000000006,177.52,317.65999999999997,150.0,2018-03-15
2018-03-15,1,4,169.21000000000004,177.95,318.09,149.0,2018-03-22
2018-03-22,1,4,168.38000000000005,175.46,315.6,148.0,2018-03-29
2018-03-30,1,4,146.74000000000004,168.24,308.39,162.0,2018-04-06
2018-01-01,1,5,106.33,117.96,234.66000000000003,129.0,2018-01-08
2018-01-10,1,5,116.26000000000002,118.65,235.34000000000003,120.0,2018-01-17
2018-01-19,1,5,114.33000000000001,118.73,235.43,122.0,2018-01-26
2018-01-28,1,5,110.33000000000004,123.96,240.65000000000003,131.0,2018-02-04
2018-02-06,1,5,116.50000000000003,124.93,241.62,126.0,2018-02-13
2018-02-15,1,5,114.02000000000001,128.93,245.62,132.0,2018-02-22
2018-02-23,1,5,124.80000000000003,134.68,251.37,127.0,2018-03-02
2018-03-02,1,5,141.15000000000003,148.89,265.58,125.0,2018-03-09
2018-03-09,1,5,141.30000000000004,148.55,265.25,124.0,2018-03-16
2018-03-16,1,5,140.79000000000005,148.71,265.41,125.0,2018-03-23
2018-03-23,1,5,141.12000000000003,146.1,262.79,122.0,2018-03-30
2018-03-31,1,5,121.99000000000007,140.71,257.40000000000003,136.0,2018-04-07
2018-01-01,1,6,340.52,391.7,765.1500000000001,425.0,2018-01-08
2018-01-10,1,6,352.53,378.05,751.5,399.0,2018-01-17
2018-01-19,1,6,343.16999999999996,383.08,756.53,414.0,2018-01-26
2018-01-27,1,6,384.50999999999993,400.01,773.46,389.0,2018-02-03
2018-02-04,1,6,378.03999999999996,410.2,783.6500000000001,406.0,2018-02-11
2018-02-12,1,6,396.89,415.43,788.8799999999999,392.0,2018-02-19
2018-02-20,1,6,389.74,418.82,792.27,403.0,2018-02-27
2018-02-27,1,6,436.64,472.35,845.8,410.0,2018-03-06
2018-03-06,1,6,437.02,477.14,850.5899999999999,414.0,2018-03-13
2018-03-13,1,6,436.5999999999999,483.2,856.6500000000001,421.0,2018-03-20
2018-03-20,1,6,437.12,478.39,851.8299999999999,415.0,2018-03-27
2018-03-28,1,6,381.4599999999999,436.19,809.6400000000001,429.0,2018-04-04
2018-01-01,1,7,337.26,371.91,742.7,406.0,2018-01-08
2018-01-10,1,7,354.65,372.6,743.39,389.0,2018-01-17
2018-01-19,1,7,342.06,376.78,747.5699999999999,406.0,2018-01-26
2018-01-27,1,7,385.57000000000005,387.01,757.8,373.0,2018-02-03
2018-02-04,1,7,378.7800000000001,404.83,775.62,397.0,2018-02-11
2018-02-12,1,7,396.3500000000001,401.14,771.9300000000001,376.0,2018-02-19
2018-02-20,1,7,390.94000000000005,400.59,771.37,381.0,2018-02-27
2018-02-27,1,7,435.2100000000001,454.21,825.0,390.0,2018-03-06
2018-03-06,1,7,434.84000000000015,457.68,828.47,394.0,2018-03-13
2018-03-13,1,7,435.0000000000001,461.66,832.45,398.0,2018-03-20
2018-03-20,1,7,435.1800000000001,461.34,832.13,397.0,2018-03-27
2018-03-28,1,7,382.4500000000001,434.66,805.45,423.0,2018-04-04
2018-01-01,1,8,442.89,488.51,976.6899999999999,534.0,2018-01-08
2018-01-10,1,8,457.8599999999999,494.71,982.89,526.0,2018-01-17
2018-01-19,1,8,445.51999999999975,490.75,978.93,534.0,2018-01-26
