id,date,store,item,predicted_demand,historical_mean,demand_std,lead_time_demand,safety_stock,reorder_point,current_inventory,inventory_position,recommended_order_qty,calculated_initial_inventory,opening_inventory,inventory_after_demand,on_order,order_quantity,arrival_date
0,2018-01-01,1,1,13.28,20.04,6.57,114.6,28.57,143.17,140.28,127.00000026702881,3,140.28,140.28,127.00000026702881,0.0,17.0,2018-01-08
1,2018-01-02,1,1,15.33,20.04,6.57,114.5,28.57,143.07,140.28,128.67000034332276,3,140.28,127.00000026702881,111.67000034332276,17.0,15.0,2018-01-09
2,2018-01-03,1,1,15.24,20.04,6.57,114.49,28.57,143.06,140.28,128.4300005722046,3,140.28,111.67000034332276,96.43000057220459,32.0,15.0,2018-01-10
3,2018-01-04,1,1,15.78,20.04,6.57,114.58,28.57,143.15,140.28,127.6500008392334,3,140.28,96.43000057220459,80.6500008392334,47.0,16.0,2018-01-11
4,2018-01-05,1,1,16.81,20.04,6.57,114.71,28.57,143.28,140.28,126.84000137329102,3,140.28,80.6500008392334,63.84000137329102,63.0,17.0,2018-01-12
5,2018-01-06,1,1,18.23,20.04,6.57,115.41,28.57,143.98,140.28,125.61000183105469,4,140.28,63.84000137329102,45.61000183105469,80.0,19.0,2018-01-13
6,2018-01-07,1,1,20.0,20.04,6.57,115.34,28.57,143.91,140.28,124.61000183105469,4,140.28,45.61000183105469,25.61000183105469,99.0,20.0,2018-01-14
7,2018-01-08,1,1,13.22,20.04,6.57,115.38,28.57,143.95,140.28,131.39000156402588,4,140.28,42.61000183105469,29.39000156402588,102.0,13.0,2018-01-15
8,2018-01-09,1,1,15.23,20.04,6.57,115.08,28.57,143.65,140.28,129.16000202178955,3,140.28,44.39000156402588,29.160002021789552,100.0,15.0,2018-01-16
9,2018-01-10,1,1,15.23,20.04,6.57,114.93,28.57,143.51,140.28,128.93000247955322,3,140.28,44.16000202178955,28.930002479553224,100.0,15.0,2018-01-17
10,2018-01-11,1,1,15.87,20.04,6.57,115.01,28.57,143.59,140.28,128.06000259399414,3,140.28,44.930002479553224,29.06000259399414,99.0,16.0,2018-01-18
11,2018-01-12,1,1,16.94,20.04,6.57,115.05,28.57,143.62,140.28,127.12000205993652,3,140.28,46.06000259399414,29.120002059936525,98.0,17.0,2018-01-19
12,2018-01-13,1,1,18.93,20.04,6.57,114.7,28.57,143.28,140.28,125.19000175476074,3,140.28,48.120002059936525,29.190001754760743,96.0,19.0,2018-01-20
13,2018-01-14,1,1,19.92,20.04,6.57,114.86,28.57,143.43,140.28,124.2700016784668,3,140.28,49.19000175476074,29.270001678466798,95.0,20.0,2018-01-21
14,2018-01-15,1,1,13.26,20.04,6.57,115.32,28.57,143.89,140.28,131.01000144958496,4,140.28,42.2700016784668,29.010001449584962,102.0,13.0,2018-01-22
15,2018-01-16,1,1,14.93,20.04,6.57,115.73,28.57,144.3,140.28,129.08000114440918,4,140.28,44.01000144958496,29.08000114440918,100.0,16.0,2018-01-23
16,2018-01-17,1,1,15.08,20.04,6.57,116.18,28.57,144.76,140.28,130.00000122070313,4,140.28,44.08000114440918,29.000001220703126,101.0,15.0,2018-01-24
17,2018-01-18,1,1,15.95,20.04,6.57,116.63,28.57,145.2,140.28,129.050001411438,5,140.28,45.000001220703126,29.05000141143799,100.0,17.0,2018-01-25
